left-CredentialExposure-primary-key,right-Domain-primary-key
exp:live:427d9532be3e26a2,naver.com
exp:live:19f80065284e5a78,naver.com
exp:live:94e6230ef9464e2b,naver.com
exp:live:cef8a165393053c3,naver.com
exp:live:46f50f6ee1817670,naver.com
exp:live:aba1e01f4148956a,naver.com
exp:live:de2c7117ad3e73a7,naver.com
exp:live:910f7af915fd498d,naver.com
exp:live:966b353b057840b9,naver.com
exp:live:4a9f9bd8b7b3c074,naver.com
exp:live:b143a9ae30331e92,naver.com
exp:live:0024245f0aa08ee2,naver.com
exp:live:fa60fe109c1a03f3,naver.com
exp:live:2225f2093106404a,naver.com
exp:live:7fe5f7872cc0882f,naver.com
exp:live:5ba2bc96250673db,naver.com
exp:live:3898136e5212aff9,naver.com
exp:live:60dfd853d16448e5,naver.com
exp:live:0fd75a89fb6a6afe,naver.com
exp:live:eb31c44473d53c68,naver.com
exp:live:a535b3bf83647110,naver.com
exp:live:25ce83568ff169e0,naver.com
exp:live:3a00f88d87ceb7ee,naver.com
exp:live:e8c5a87a2d38d846,naver.com
exp:live:2c8598e907dbf50d,naver.com
exp:live:1ad3f881dd770396,naver.com
exp:live:f576e9d9a1c7b704,naver.com
exp:live:1faacd566b5a21d8,naver.com
exp:live:27f4f5225af08820,naver.com
exp:live:bac9ef8ec7d2f83a,naver.com
exp:live:c9e8c5ef65df04f6,naver.com
exp:live:9f1f2f8aa7edafc7,naver.com
exp:live:fc1fd1627c8adb0a,naver.com
exp:live:d884adee9039b3a8,naver.com
exp:live:c3a49a5fd62e6032,naver.com
exp:live:5fcefb509ea5cf32,naver.com
exp:live:f2226e2905190798,naver.com
exp:live:261f320492b4f2f8,naver.com
exp:live:f0475481ed76d2e2,naver.com
exp:live:7e909b63b6af59b5,naver.com
exp:live:c2d89722ff945efa,naver.com
exp:live:434124e273dd0fc8,naver.com
exp:live:a450d46a5b3f1fa1,naver.com
exp:live:eda6a51365152e0e,naver.com
exp:live:af8d1e7ec51165f5,naver.com
exp:live:d253d139004230d2,naver.com
exp:live:0d3aaba08ba6c33c,naver.com
exp:live:c70b9e850f7c7a94,naver.com
exp:live:bbd7d0d70dff63a6,naver.com
exp:live:931c9ba008e71d77,naver.com
exp:live:6700c1579cb3cbe1,imap
exp:live:242091ab526900ae,pop3
exp:live:672badbad2c0c4c2,smtp
exp:live:24d34c53d11e9acb,smtp
exp:live:2146f54464401c1f,billing.happybean.naver.com
exp:live:97818f6d4e9aa828,blog.naver.com
exp:live:844d3b6e332fd34a,blog.naver.com
exp:live:6eb2bbae0b77c77e,cafe.naver.com
exp:live:b245a367c005f6d1,cloud.naver.com
exp:live:121085f57413d554,cloud.naver.com
exp:live:98093f9c02ecaa6f,cloud.naver.com
exp:live:5db69c8e403525bd,cloud.naver.com
exp:live:ca2787243b337324,cloud.naver.com
exp:live:d293e9a368fa7d5a,cloud.naver.com
exp:live:cdf05841158e32c7,cloud.naver.com
exp:live:f28e0bf4f99db12e,cloud.naver.com
exp:live:4dfde70cdb05b6bf,cloud.naver.com
exp:live:dc780ddde2e91362,cloud.naver.com
exp:live:20eaea0fc751fa83,cloud.naver.com
exp:live:065ecbc3fc3e8b0f,cloud.naver.com
exp:live:86d9c092efe5a820,cloud.naver.com
exp:live:3079b59bfc57e283,cloud.naver.com
exp:live:901236cf4936f4d7,happybean.naver.com
exp:live:1e6ef1d99fdeb21c,localad.naver.com
exp:live:8e0c8908245b2c52,localad.naver.com
exp:live:6db50156c2241eb2,localshop.naver.com
exp:live:c9c3889865bb7ac1,lps3.nid.naver.com.libproxy.chungbuk.ac.kr
exp:live:ef9411460a6fd7a7,m.ndrive.naver.com
exp:live:21fe942b9407d7a9,mail.naver.com
exp:live:d9cc5b14f45c4021,mail.naver.com
exp:live:83dcd82a45ef33b9,mail.naver.com
exp:live:0a06c127dd215525,maplestory.nexon.game.naver.com
exp:live:a4e360b895311491,ndrive.naver.com
exp:live:560ef61300444a95,ndrive.naver.com
exp:live:79cd9a5e60600e09,ndrive.naver.com
exp:live:9c8ac8db60920ae3,ndrive.naver.com
exp:live:c013237e1073dd7a,nid.naver.com
exp:live:947af3edbfba7b33,nid.naver.com
exp:live:fa0caf623b80381d,nid.naver.com
exp:live:ebdcb7bcbb530d37,nid.naver.com
exp:live:e8547009a428f3fe,nid.naver.com
exp:live:a9ec5df528a2690a,nid.naver.com
exp:live:42e3070f246c06af,nid.naver.com
exp:live:deb7a3682247332c,nid.naver.com
exp:live:dc200e5066613cce,nid.naver.com
exp:live:6dba9f2284335e2b,nid.naver.com
exp:live:ea65f2ebc29070b6,nid.naver.com
exp:live:475cb568c9c95cb3,nid.naver.com
exp:live:e02ef3e30565b277,nid.naver.com
exp:live:5f55529b02cf359a,nid.naver.com
exp:live:99fc4f331ff03f3e,naver.com
exp:live:4c0e0b172d4abf3e,naver.com
exp:live:75fa923e310a1aae,naver.com
exp:live:9d623f1a8ea14821,naver.com
exp:live:8185c8c9b673cabf,naver.com
exp:live:91d470be5a931bec,naver.com
exp:live:e6fcc580e9623fe7,naver.com
exp:live:83911770d439493b,naver.com
exp:live:caf176858611d64e,naver.com
exp:live:ce4b7b5fcc911e61,naver.com
exp:live:c39ef929397c4afc,naver.com
exp:live:0506a1cd4e72a38e,naver.com
exp:live:4528554d45e485b3,naver.com
exp:live:789e27b4fb754dd7,naver.com
exp:live:eaa4f586d3240653,naver.com
exp:live:9e6ded32c1cfef65,naver.com
exp:live:2da046c01f8ea21a,naver.com
exp:live:50fecced398fe2d4,naver.com
exp:live:86bfed91ca840ff7,naver.com
exp:live:1f80d4353b856345,naver.com
exp:live:31210604742630a4,naver.com
exp:live:636427474eb66333,naver.com
exp:live:892502d085bb9e46,naver.com
exp:live:f7c4fb56fe111f72,naver.com
exp:live:b4a9e10afcaf4398,naver.com
exp:live:81c5f04b6f6ffb2c,naver.com
exp:live:a96caac514747f0c,naver.com
exp:live:97f2693b1936bca0,naver.com
exp:live:7a1b6d2335b35b2a,naver.com
exp:live:cdadb3510efcaa33,naver.com
exp:live:f2ddc69cca0e78f3,naver.com
exp:live:47a664c67eda7c14,naver.com
exp:live:aee85f4e41c22308,naver.com
exp:live:7cc43a9123389406,naver.com
exp:live:81480aca8eedddd9,naver.com
exp:live:f19d889ab5a90519,naver.com
exp:live:dcbc7135a435c4ca,naver.com
exp:live:2d032f9129b5495f,naver.com
exp:live:31ea99c147ebfabe,naver.com
exp:live:8c52ed88d4a9e503,naver.com
exp:live:da413d6bf28b4ec0,naver.com
exp:live:28149ef100c21d49,naver.com
exp:live:123d25cb17bf0955,naver.com
exp:live:9d42bcd9e9578819,naver.com
exp:live:9e1755e8b77d5dcf,naver.com
exp:live:1518da089f734fcb,naver.com
exp:live:b96af130765727b0,naver.com
exp:live:f2a1dc0928ac2d4f,naver.com
exp:live:ea9324dc9d2b6fc1,naver.com
exp:live:9fc11c545987e056,naver.com
